1700071K01RIK
CLDN6
CLDN7
CLDN9
CLIC1
CLINT1
CLK3
CLNK
CLNS1A
CLOCK
CLSPN
CLTC
CLTCL1
CMPK1
CMTM4
CNGA1
CNKSR2
CNN1
CNN2
CNN3
CNNM3
CNOT2
CNP
COBL
COBLL1
COL17A1
COPA
COPB1
COPB2
COPS3
CORO1A
CORO1C
COTL1
COX18
CPA6
CPD
CPNE3
CPS1
CPSF2
CPSF6
CPSF7
CR2
CRCP
CREBBP
CRIM1
CRIP1
CRIP2
CRK
CRKL
CRMP1
CRTAC1
CRTC2
CRYZ
CSF1R
CSF2RB
CSF3R
CSK
CSNK1A1
CSNK1A1L
CSNK1G3
CSNK2A1
CSNK2B
CSRP1
CSTB
CTAGE5
CTLA4
CTNNA1
CTNNAL1
CTNNB1
CTNND1
CTNND2
CTPS1
CTPS2
CTTN
CTTNBP2NL
CUX1
CWF19L2
CXADR
CXCR7
CYB5R1
CYB5R3
CYCS
CYFIP1
CYFIP2
CYSTM1
CYTH1
D1PAS1
DAB1
DAB2
DAB2IP
DAG1
DAP3
DAPP1
DBI
DBN1
DBNL
DCAF4L2
DCBLD1
DCBLD2
DCC
DCLK1
DCP1A
DCP1B
DCTD
DCTN2
DCXR
DDB1
DDR1
DDR2
DDX1
DDX17
DDX20
DDX39B
DDX3X
DDX3Y
DDX41
DDX42
DDX46
DDX5
DDX6
DEF6
DEFA1
DEFA3
DENND2C
DFNA5
DGCR8
DGKA
DHRS1
DHRS7
DHX15
DHX9
DIAPH1
DIDO1
DIP2B
DLG1
DLG2
DLG3
DLG4
DLG5
DLGAP1
DNAH10
DNAH9
DNAI2
DNAJA1
DNAJB1
DNAJB3
DNAJB4
DNAJB6
DNAJC18
DNAJC2
DNAJC21
DNAJC5
DNAJC7
DNER
DNM1
DNM2
DNM3
DNMBP
DNMT1
DNTT
DNTTIP2
DOCK1
DOCK11
DOCK2
DOCK4
DOCK7
DOK1
DOK2
DOK3
DOK4
DOK7
DPF2
DPYSL2
DPYSL3
DSC2
DSC3
DSG1
DSG2
DSP
DST
DSTN
DUSP3
DVL2
DYNC1H1
DYNLL1
DYNLL2
DYRK1A
DYRK1B
DYRK1C
DYRK2
DYRK3
DYRK4
DZIP1
EBAG9
ECI2
EDC3
EDC4
EDF1
EDNRA
EDNRB
EEF1A1
EEF1A2
EEF1B2
EEF2
EFHD2
EFNB1
EFNB2
EFNB3
EFS
EGFR
EHBP1L1
EHD1
EHD2
EIF1
EIF1B
EIF2A
EIF2AK3
EIF2AK4
EIF2C2
EIF2S1
EIF3A
EIF3B
EIF3C
EIF3D
EIF3E
EIF3J
EIF3L
EIF3M
EIF4A1
EIF4A2
EIF4A3
EIF4B
EIF4EBP1
EIF4EBP2
EIF4ENIF1
EIF4G1
EIF4G2
EIF4H
EIF5
EIF5A
EIF5B
EIF6
ELAVL1
ELFN2
ELMO1
ELMO2
ELMO3
ELP3
EMD
EML4
ENO1
ENO2
ENO3
ENSA
EP300
EPB41
EPB41L1
EPB41L2
EPB41L4B
EPB41L5
EPHA1
EPHA2
EPHA3
EPHA4
EPHA5
EPHA7
EPHB1
EPHB2
EPHB3
EPHB4
EPHB6
EPN1
EPN3
EPOR
EPRS
EPS15
EPS15L1
EPS8
EPS8L1
EPX
ERBB2
ERBB2IP
ERBB3
ERBB4
ERH
ERI1
ERP29
ERRFI1
ESR1
ESRRG
ESYT1
ESYT2
ETS1
ETV4
ETV6
EWSR1
EXOSC2
EYS
EZR
F11R
F2R
FABP4
FABP5
FADS2
FAF1
FAF2
FAIM3
FAM105B
FAM120A
FAM125A
FAM125B
FAM126A
FAM129B
FAM175B
FAM177A1
FAM195B
FAM20B
FAM50A
FAM50B
FAM82A2
FAM83A
FAM83B
FAM83F
FAM83H
FARP2
FAS
FASN
FAT1
FBP1
FBP2
FBXO9
FCAR
FCER1G
FCGR2A
FCGR2B
FCGR2C
FCHO2
FCHSD2
FCRL3
FER
FERMT2
FERMT3
FES
FEZ2
FGA
FGB
FGD1
FGD6
FGF2
FGFR1
FGFR1OP
FGFR2
FGFR3
FGFR4
FGR
FH
FHIT
FIG4
FIP1L1
FKBP4
FKBP8
FLII
FLNA
FLNB
FLNC
FLOT1
FLOT2
FLT1
FLT3
FLT4
FMO3
FNBP1
FNBP1L
FNTB
FOS
FOXK1
FOXL2
FRAS1
FRK
FRMD4A
FRMD6
FRS2
FTSJD2
FUBP1
FUBP3
FUNDC1
FXR1
FXR2
FYB
FYN
FZR1
G3BP1
G3BP2
G6B
G6PD
GAB1
GAB2
GAB3
GABRB2
GABRG2
GAGE1
GAGE12B
GAGE12C
GAGE12D
GAGE12F
GAGE12H
GAGE12I
GAGE12J
GAGE3
GAGE4
GAGE5
GAGE6
GAGE7
GAK
GAN
GAPDH
GAPVD1
GAR1
GAREM
GARS
GART
GATA6
GATAD2B
GBA
GBE1
GBF1
GCSAM
GCSAML
GDI1
GDI2
GDPD3
GEMIN8
GFAP
GH1
GH2
GHR
GIMAP1
GIT1
GIT2
GJA1
GJC1
GLCE
GLIPR2
GLUD1
GLUD2
GLUL
GM7964
GMDS
GNAI2
GNAI3
GNAQ
GNAS
GNAT1
GNB2L1
GNG12
GNL3
GNMT
GOLGA3
GOLGA4
GOLGA5
GOLIM4
GOT1
GOT2
GPD2
GPR126
GPR128
GPR65
GPRC5A
GPRC5B
GPRC5C
GPSM2
GPSM3
GRAMD1B
GRAMD1C
GRAP
GRAP2
GRAPL
GRASP
GRB10
GRB14
GRB2
GRB7
GRHPR
GRIA2
GRIA3
GRIN2A
GRIN2B
GRM1
GSDMD
GSK3A
GSK3B
GSN
GSR
GSS
GSTA1
GSTA2
GSTA3
GSTM1
GSTP1
GSTP2
GTF2F2
GTF2I
GTF3C5
GTPBP4
GUCY1B3
GUK1
GULP1
GYG1
GYS2
H2AFV
H2AFX
H2AFZ
H2BFS
H2-D1
HADHA
HAPLN1
HAVCR2
HBA1
HBA2
HBA-A2
HBB
HBD
HBE1
HBG1
HBG2
HBS1L
HCK
HCLS1
HCN2
HCN4
HDLBP
HEG1
HELLS
HELZ
HEXIM1
HGS
HIPK1
HIPK2
HIPK3
HIPK4
HIST1H1A
HIST1H1C
HIST1H1D
HIST1H1E
HIST1H1T
HIST1H2BB
HIST1H2BC
HIST1H2BD
HIST1H2BH
HIST1H2BJ
HIST1H2BK
HIST1H2BL
HIST1H2BM
HIST1H2BN
HIST1H2BO
HIST1H2BP
HIST1H3A
HIST1H4A
HIST2H2BE
HIST2H2BF
HIST2H3C
HIST3H2BB
HIST4H4
HK1
HK2
HLTF
HMGB1
HMGB2
HMGN5
HNF4A
HNRNPA0
HNRNPA1
HNRNPA2B1
HNRNPA3
HNRNPAB
HNRNPC
HNRNPF
HNRNPH1
HNRNPH2
HNRNPH3
HNRNPK
HNRNPL
HNRNPM
HNRNPR
HNRNPU
HNRNPUL1
HNRNPUL2
HNRPDL
HOOK3
HP1BP3
HPD
HRSP12
HSFY2
HSH2D
HSP90AA1
HSP90AA2
HSP90AB1
HSPA12A
HSPA1A
HSPA1B
HSPA1L
HSPA2
HSPA4
HSPA6
HSPA7
HSPA8
HSPA9
HSPD1
HSPE1
HSPH1
HUWE1
IBTK
ICAM1
ICK
IDH1
IFITM3
IFNAR1
IFNAR2
IFNGR1
IFT88
IGF1R
IGF2BP1
IGF2BP2
IK
IKBKB
IL22RA1
IL2RB
IL36A
IL4R
IL6ST
ILF3
IMPDH2
INADL
INCENP
INPP5D
INPPL1
INSR
INTS7
IQGAP1
IQGAP2
IQGAP3
IQSEC1
IQUB
IRF4
IRF8
IRS1
IRS2
IRS4
ISOC1
IST1
ITCH
ITGA3
ITGA4
ITGB1
ITGB3
ITGB4
ITGB5
ITK
ITPR1
ITSN2
JAK1
JAK2
JAK3
JUNB
JUP
KANK1
KAT2A
KAT2B
KAT6B
KBTBD11
KCNA2
KCNA3
KCNAB2
KCNB1
KCNH2
KCNJ1
KCNJ2
KCNJ3
KCNMA1
KCNN1
KCTD12
KCTD16
KCTD7
KDELC1
KDM1A
KDM2B
KDM5A
KDR
KHDRBS1
KHNYN
KHSRP
KIAA0020
KIAA0430
KIAA1217
KIAA1430
KIAA1462
KIDINS220
KIF11
KIF14
KIF1C
KIF20A
KIF20B
KIF23
KIR2DL1
KIR2DL2
KIRREL
KIT
KLC1
KLC2
KMO
KPNB1
KRI1
KRT10
KRT12
KRT14
KRT15
KRT16
KRT17
KRT18
KRT19
KRT3
KRT4
KRT5
KRT6A
KRT6B
KRT6C
KRT7
KRT71
KRT72
KRT73
KRT74
KRT75
KRT78
KRT8
KRT81
KRT86
L1CAM
LAIR1
LAMA2
LAMP2
LAMTOR1
LANCL2
LAP3
LAPTM4A
LAPTM4B
LARP1
LAS1L
LASP1
LAT
LAT2
LATS1
LATS2
LAX1
LCK
LCORL
LCP1
LCP2
LDHA
LDHAL6B
LDHB
LDLR
LEMD3
LENG8
LEO1
LEPR
LGALS1
LGALS3
LGALS9
LIFR
LILRB2
LILRB4
LIMA1
LIMD1
LIMD2
LIME1
LLGL1
LLGL2
LMBRD2
LMO7
LNPEP
LOC401308
LPHN1
LPHN2
LPHN3
LPP
LPXN
LRBA
LRIG1
LRIG2
LRIG3
LRP1
LRP6
LRPPRC
LRRC25
LRRC7
LRRC8C
LRRFIP1
LSR
LTBP1
LTF
LTK
LTV1
LUZP1
LY6G6F
LY9
LYN
LYSMD2
MAD2L1
MAGED1
MAGI1
MAGI2
MAGOH
MAGOHB
MAK
MAK16
MAP1B
MAP2
MAP3K4
MAP4
MAP4K5
MAP7D3
MAPK1
MAPK10
MAPK11
MAPK12
MAPK13
MAPK14
MAPK15
MAPK3
MAPK7
MAPK8
MAPK9
MAPRE1
MAPRE2
MAPT
MARCH7
MARK2
MARK3
MARVELD2
MAST3
MATK
MATR3
MAX
MBP
MCAM
MCEMP1
MCM2
MCM3
MCM6
MCMBP
MDH1
MDH2
MDM2
MDM4
MED1
MEGF10
MELK
MEMO1
MERTK
MET
MFAP1
MFAP3
MFSD4
MGRN1
MGST2
MICALL2
MIF
MILR1
MINK1
MIXL1
MKI67
MLF2
MLLT4
MMP13
MMP14
MOK
MON1A
MORF4L2
MOV10
MPL
MPLKIP
MPP1
MPP2
MPP5
MPP7
MPRIP
MPZ
MPZL1
MRPS17
MS4A2
MSN
MST1R
MTA1
MTA2
MT-CO1
MTMR10
MTMR12
MTMR6
MTOR
MUC1
MUSK
MVP
MX1
MYC
MYD88
MYH1
MYH10
MYH11
MYH13
MYH14
MYH2
MYH3
MYH4
MYH6
MYH7
MYH8
MYH9
MYL2
MYL6
MYL6B
MYLK
MYLK2
MYO10
MYO1D
MYO1E
MYO3A
MYO6
MYOD1
MYOF
MYOM1
MYOM2
N4BP2
N4BP3
NAA10
NAA11
NAALADL2
NAE1
NAGK
NAMPT
NAP1L1
NAP1L4
NAPG
NARFL
NAT2
NCAM1
NCBP2
NCEH1
NCF1
NCK1
NCK2
NCL
NCOA3
NCS1
NDC80
NDE1
NDUFB10
NEBL
NEDD4L
NEDD9
NELFE
NEMF
NEO1
NF1
NFAT5
NFE2L2
NFIB
NFKB1
NFKBIA
NFYA
NGEF
NGFR
NHLRC2
NHP2L1
NIPA2
NIPBL
NIPSNAP1
NIT2
NLGN1
NMD3
NME1
NNT
NOA1
NONO
NOP58
NOS2
NOS3
NOSIP
NPDC1
NPHS1
NPM1
NRK
NRP1
NSF
NSFL1C
NSG2
NTRK1
NTRK2
NTRK3
NUAK2
NUCKS1
NUDCD2
NUDCD3
NUDT21
NUDT5
NUFIP2
NUMA1
NUMB
NUP205
NUP98
NYAP1
NYAP2
OCLN
ODF3L2
OPHN1
OPRM1
OR4D5
ORAI1
OSBP
OSMR
OSTF1
OTUB1
OTUD4
OTUD5
OTUD6A
P2RX6
PA2G4
PABPC1
PABPC2
PABPC3
PABPC4
PABPC6
PACS1
PACSIN1
PAFAH1B1
PAG1
PAICS
PAK1
PAK2
PALLD
PALMD
PAPD7
PAPSS1
PAPSS2
PARD3
PARD3B
PARD6B
PARK2
PARK7
PAWR
PAXIP1
PBK
PBRM1
PBX2
PCBP2
PCDH1
PCDH7
PCDHGA1
PCDHGA11
PCDHGA12
PCDHGA2
PCDHGA3
PCDHGA5
PCDHGA6
PCDHGA7
PCDHGA9
PCDHGB1
PCDHGB2
PCDHGB3
PCDHGB4
PCDHGB5
PCDHGB6
PCDHGB7
PCDHGC3
PCM1
PCNA
PDAP1
PDCD4
PDCD6IP
PDE4B
PDE4D
PDGFRA
PDGFRB
PDHA1
PDHA2
PDK1
PDLIM1
PDLIM3
PDLIM4
PDLIM5
PDLIM7
PDPK1
PDXDC1
PDZD11
PDZK1IP1
PEAK1
PEAR1
PEBP1
PECAM1
PECR
PELO
PER3
PFKL
PFKP
PFN1
PFN2
PGAM1
PGAM2
PGAM4
PGK1
PGM1
PGM5
PGRMC1
PGRMC2
PGS1
PHACTR2
PHAX
PHB
PHB2
PHF14
PHF16
PHF8
PHLDB2
PHPT1
PI4KA
PIH1D1
PIK3AP1
PIK3C2A
PIK3C2B
PIK3CA
PIK3CB
PIK3CD
PIK3R1
PIK3R2
PIK3R3
PIKFYVE
PIN1
PIN4
PIP5K1A
PIP5K1C
PITHD1
PITPNA
PITPNB
PJA2
PKD1
PKDCC
PKM
PKN1
PKN2
PKP1
PKP2
PKP3
PKP4
PLA2G4A
PLA2G6
PLBD1
PLCB1
PLCG1
PLCG2
PLCH1
PLD2
PLD3
PLEC
PLEK2
PLEKHA1
PLEKHA5
PLEKHA6
PLEKHA7
PLEKHG1
PLEKHN1
PLEKHS1
PLIN3
PLRG1
PLSCR1
PLXNA1
PLXNB1
PMEPA1
POLB
POLR1B
POLR2A
POLR2B
PON3
POTEE
POTEF
POTEI
POTEJ
POTEKP
POTEM
PPA2
PPAP2C
PPFIBP1
PPFIBP2
PPHLN1
PPM1B
PPM1J
PPP1CB
PPP1R11
PPP1R12A
PPP1R13L
PPP1R14B
PPP1R15A
PPP1R18
PPP1R1B
PPP1R9B
PPP2CA
PPP2CB
PPP2R5D
PPP3R1
PRC1
PRDX1
PRDX2
PRDX6
PREP
PRIM2
PRKAA1
PRKACA
PRKACB
PRKAR1B
PRKCA
PRKCB
PRKCD
PRKCG
PRKCI
PRKCQ
PRKD1
PRKDC
PRLR
PRMT1
PROM1
PROSC
PRPF31
PRPF4B
PRRC2A
PRRC2C
PSMA2
PSMA6
PSMA7
PSMB1
PSMB4
PSMB5
PSMB7
PSMB8
PSMC1
PSMC2
PSMC6
PSMD14
PTBP1
PTBP3
PTDSS1
PTEN
PTGR1
PTK2
PTK2B
PTK6
PTPN1
PTPN11
PTPN14
PTPN18
PTPN6
PTPRA
PTPRB
PTPRE
PTPRF
PTPRG
PTPRK
PTRF
PTTG1IP
PUM1
PVR
PVRL1
PVRL2
PVRL3
PVRL4
PXN
PYGB
PYGL
PYGM
QARS
R3HCC1L
RAB11A
RAB11B
RAB13
RAB1A
RAB1B
RAB34
RAB35
RAB3C
RAB7A
RAB8A
RAB8B
RAB9A
RABL6
RAC1
RAD18
RAD51
RAD52
RAD54L
RAE1
RAF1
RAI14
RALGPS2
RAN
RANBP1
RANBP10
RANBP3
RAP1A
RAP1B
RAP1BL
RAPGEF1
RAPGEF6
RAPH1
RASA1
RASA3
RASAL2
RASGRP4
RB1
RBAK
RBCK1
RBM14
RBM15
RBM22
RBM3
RBM4
RBM4B
RBM5
RBM6
RBM8A
RBMX
RBMXL1
RCC2
RDX
REEP4
REPS1
REPS2
RET
REXO2
RFC1
RFFL
RGS14
RGS16
RGS19
RGS20
RHOA
RIC8A
RICTOR
RIN1
RIN2
RIN3
RIOK2
RIOK3
RIPK1
RIPK2
RNASEH2A
RNF113A
RNF113A1
RNF213
RNPS1
ROBO1
ROCK2
ROR1
ROS1
RP9
RPA2
RPAP3
RPGRIP1
RPL10A
RPL12
RPL15
RPL18A
RPL23
RPL27A
RPL29
RPL3
RPL31
RPL35
RPL35A
RPL38
RPL4
RPL7
RPL8
RPL9
RPLP0
RPLP0P6
RPLP2
RPRD1B
RPS10
RPS11
RPS12
RPS13
RPS14
RPS16
RPS17
RPS2
RPS21
RPS24
RPS27
RPS27A
RPS27L
RPS3
RPS3A
RPS6
RPS6KA1
RPS6KA3
RPS6KA6
RPS9
RPSA
RPTOR
RRAGC
RRAS
RRM1
RRP12
RRP7A
RSF1
RSRC2
RUFY1
RUVBL2
RXRA
S100A10
S100A11
S100A14
SACS
SAFB
SAMD4B
SAMSN1
SASH1
SASH3
SBF1
SCAF1
SCAI
SCAMP1
SCAMP3
SCAMP4
SCARF2
SCEL
SCG2
SCP2
SCRIB
SDC1
SDC2
SDC3
SDC4
SDCBP
SDHA
SDPR
SEC24A
SEC24B
SEMA4B
SEMA4D
SEMG1
SEPT2
SEPT5
SEPT7
SEPT9
SERBP1
SERPINB8
SET
SETD2
SETD8
SF3A1
SF3A3
SF3B2
SF3B4
SFN
SFPQ
SFRS12IP1
SGK223
SGMS2
SH2B1
SH2B2
SH2B3
SH2D1A
SH2D1B
SH2D2A
SH2D3A
SH2D3C
SH2D4A
SH2D4B
SH2D5
SH2D6
SH2D7
SH3BP2
SH3GL1
SH3GLB1
SH3GLB2
SH3PXD2A
SHANK3
SHB
SHC1
SHC2
SHC3
SHC4
SHCBP1
SHD
SHE
SHF
SHMT1
SHROOM1
SHROOM3
SI
SIGLEC10
SIGLEC11
SIGLEC5
SIN3A
SIPA1L1
SIPA1L3
SIRPA
SIT1
SKA3
SKAP1
SKAP2
SLA
SLA2
SLAIN1
SLAMF1
SLAMF6
SLAMF7
SLC11A1
SLC12A2
SLC12A4
SLC12A5
SLC12A6
SLC15A1
SLC1A4
SLC1A5
SLC20A1
SLC20A2
SLC25A11
SLC25A3
SLC25A31
SLC25A4
SLC25A5
SLC25A6
SLC34A2
SLC35E1
SLC38A2
SLC38A5
SLC44A4
SLC4A1
SLC4A2
SLC4A4
SLC4A7
SLC6A8
SLC7A11
SLC7A6
SLC9A1
SLITRK5
SLITRK6
SLK
SLU7
SMAP
SMAP2
SMARCA1
SMARCA4
SMARCAD1
SMARCE1
SMC1A
SMC3
SMC5
SMG9
SNAP23
SNAP29
SNCA
SND1
SNRNP200
SNRNP70
SNRPC
SNRPN
SNUPN
SNW1
SNX12
SNX18
SNX3
SNX33
SNX5
SNX9
SOCS1
SOCS2
SOCS3
SOCS4
SOCS5
SOCS6
SOCS7
SON
SORBS1
SOWAHC
SPATA13
SPATS2L
SPECC1
SPEN
SPG20
SPHK2
SPRED2
SPRY1
SPRY2
SPRY3
SPRY4
SPTA1
SPTAN1
SPTBN1
SPTBN2
SPTLC1
SQSTM1
SRC
SRCIN1
SRMS
SRPK2
SRPR
SRRM1
SRRM2
SRSF1
SRSF2
SRSF3
SRSF5
SRSF7
SRSF9
SSBP1
SSRP1
SSX2IP
ST5
ST6GAL1
STAM
STAM2
STAP1
STAP2
STAT1
STAT2
STAT3
STAT4
STAT5A
STAT5B
STAT6
STAU2
STEAP1
STIP1
STK10
STK11
STK3
STK31
STK36
STK4
STRIP1
STX16
STX4
STXBP1
STXBP3
SUCLA2
SUGP1
SUGT1
SUPT16H
SUPT5H
SUPT6H
SV2B
SYAP1
SYDE1
SYK
SYN1
SYN3
SYNCRIP
SYNJ2
SYNPO
SYNPO2
SYP
SYT1
SYT2
SYT3
SYT5
TADA3
TAF1
TAF15
TAF6
TAGLN
TAGLN2
TAGLN3
TANC1
TANC2
TAOK1
TAOK2
TAOK3
TARS
TBC1D15
TBC1D17
TBC1D5
TBCB
TBK1
TBL1XR1
TCEB3
TCF3
TCP1
TDRD3
TDRD6
TEAD1
TEAD2
TEAD3
TEAD4
TEC
TEK
TENC1
TENM2
TERT
TES
TF
TFG
TFRC
TGFB1I1
TGFBR2
TGM2
THEMIS
THOC5
THRAP3
TIA1
TIAL1
TIAM1
TIPRL
TIRAP
TJAP1
TJP1
TJP2
TJP3
TKT
TLE3
TLN1
TLN2
TLR3
TLR5
TMBIM1
TMEM106B
TMEM123
TMEM192
TMEM255A
TMEM63B
TNFAIP3
TNIK
TNK1
TNK2
TNKS1BP1
TNRC6B
TNS1
TNS3
TNS4
TOM1
TOM1L1
TOM1L2
TOP1
TOP1MT
TOP2A
TOP2B
TP53BP1
TP63
TP73
TPD52L2
TPM1
TPM2
TPM3
TPM4
TPP2
TPSB2
TPX2
TRA2A
TRA2B
TRAP1
TRAPPC9
TRIM16
TRIM25
TRIM28
TRIM29
TRIM3
TRIOBP
TRIP4
TRIP6
TROAP
TRPC4
TRPC6
TRPS1
TRPV1
TRPV4
TSC2
TSG101
TSPAN3
TSPYL4
TTF2
TTK
TTN
TTYH2
TTYH3
TUBA1A
TUBA1B
TUBA1C
TUBA3C
TUBA3D
TUBA3E
TUBA4A
TUBA4B
TUBA8
TUBAL3
TUBB
TUBB2A
TUBB2B
TUBB3
TUBB4A
TUBB4B
TUBB6
TUBGCP2
TWF1
TWF2
TWIST1
TWISTNB
TXK
TXLNG
TXNL1
TXNRD1
TYK2
TYMS
TYRO3
TYROBP
UACA
UBA1
UBA52
UBA52-RPS27A-UBB-UBC
UBA7
UBAP2
UBAP2L
UBASH3B
UBB
UBE2E1
UBE2E2
UBE2E3
UBE2F
UBE2J1
UBN1
UBQLN1
UBQLN2
UBQLN4
UBR5
UBXN1
UBXN6
UFC1
UFM1
UGDH
UGT2B7
UMPS
UNC5C
UNG
UOX
UPF1
UPF3B
UPP1
UQCRC2
USP10
USP11
USP15
USP20
USP24
USP31
USP42
USP54
USP6NL
USP9X
USP9Y
UTRN
VARS
VASP
VAV1
VAV2
VAV3
VBP1
VCAM1
VCL
VCP
VCPIP1
VDAC1
VIL1
VIM
VIPAS39
VPS35
VSTM4
VTI1B
VWA5A
WAPAL
WARS
WAS
WASF2
WASL
WBP11
WBP2
WDHD1
WDR1
WDR18
WDR27
WDR54
WDR70
WEE1
WFIKKN2
WIBG
WIPF2
WNK2
WRNIP1
WWC1
WWOX
XIAP
XRN1
YAP1
YBX1
YES1
YIPF5
YTHDF2
YWHAB
YWHAE
YWHAG
YWHAH
YWHAZ
ZAK
ZAP70
ZC3H12C
ZC3H13
ZC3H14
ZC3H18
ZC3H4
ZC3H7B
ZC3HAV1
ZCCHC12
ZCCHC6
ZDHHC17
ZDHHC18
ZDHHC20
ZDHHC5
ZDHHC7
ZDHHC8
ZFYVE16
ZMIZ2
ZNF185
ZNF236
ZNF24
ZNF264
ZNF267
ZNF281
ZNF318
ZNF326
ZNF330
ZNF334
ZNF492
ZNF598
ZNF609
ZNF638
ZNF670
ZNF787
ZNRF1
ZRANB2
ZYX
